SEED4_INIT=0000000a
STACKSTORE cycle=19793 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=19802 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=19811 addr=00025728 strb=f data=00000000
STACKSTORE cycle=19828 addr=0002573c strb=f data=00000214
STACKSTORE cycle=19837 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=19846 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=20791 addr=0002573c strb=f data=00000204
STACKSTORE cycle=20800 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=20809 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=20823 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=20832 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=20841 addr=00025728 strb=f data=00000000
STACKSTORE cycle=21171 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=21194 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=21203 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=21212 addr=00025728 strb=f data=00000000
STACKSTORE cycle=21235 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=21244 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=21253 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=21997 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=22014 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=22023 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=22032 addr=00025728 strb=f data=00000000
STACKSTORE cycle=22049 addr=0002573c strb=f data=00000214
STACKSTORE cycle=22058 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=22067 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=23012 addr=0002573c strb=f data=00000204
STACKSTORE cycle=23021 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=23030 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=23044 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=23053 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=23062 addr=00025728 strb=f data=00000000
STACKSTORE cycle=23381 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=23404 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=23413 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=23422 addr=00025728 strb=f data=00000000
STACKSTORE cycle=23445 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=23454 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=23463 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=24207 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=24224 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=24233 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=24242 addr=00025728 strb=f data=00000000
STACKSTORE cycle=24259 addr=0002573c strb=f data=00000214
STACKSTORE cycle=24268 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=24277 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=25222 addr=0002573c strb=f data=00000204
STACKSTORE cycle=25231 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=25240 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=25254 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=25263 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=25272 addr=00025728 strb=f data=00000000
STACKSTORE cycle=25602 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=25625 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=25634 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=25643 addr=00025728 strb=f data=00000000
STACKSTORE cycle=25666 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=25675 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=25684 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=26428 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=26445 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=26454 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=26463 addr=00025728 strb=f data=00000000
STACKSTORE cycle=26480 addr=0002573c strb=f data=00000214
STACKSTORE cycle=26489 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=26498 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=27443 addr=0002573c strb=f data=00000204
STACKSTORE cycle=27452 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=27461 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=27475 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=27484 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=27493 addr=00025728 strb=f data=00000000
STACKSTORE cycle=27823 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=27846 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=27855 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=27864 addr=00025728 strb=f data=00000000
STACKSTORE cycle=27887 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=27896 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=27905 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=28649 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=28666 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=28675 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=28684 addr=00025728 strb=f data=00000000
