SEED4_INIT=0000000a
STACKSTORE cycle=92572 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=92586 addr=00025728 strb=f data=00000000
STACKSTORE cycle=92614 addr=0002573c strb=f data=00000214
STACKSTORE cycle=92628 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=92642 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=95144 addr=0002573c strb=f data=00000204
STACKSTORE cycle=95158 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=95172 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=95186 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=95200 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=95214 addr=00025728 strb=f data=00000000
STACKSTORE cycle=96167 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=96195 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=96209 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=96223 addr=00025728 strb=f data=00000000
STACKSTORE cycle=96251 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=96265 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=96279 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=98075 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=98103 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=98117 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=98131 addr=00025728 strb=f data=00000000
STACKSTORE cycle=98159 addr=0002573c strb=f data=00000214
STACKSTORE cycle=98173 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=98187 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=100689 addr=0002573c strb=f data=00000204
STACKSTORE cycle=100703 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=100717 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=100731 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=100745 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=100759 addr=00025728 strb=f data=00000000
STACKSTORE cycle=101712 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=101740 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=101754 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=101768 addr=00025728 strb=f data=00000000
STACKSTORE cycle=101796 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=101810 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=101824 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=103620 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=103648 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=103662 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=103676 addr=00025728 strb=f data=00000000
PROBE cycle=1000000 pc=00005464 if_id=00000000 ex_mem=00005464 rstate=2 wstate=0 arvalid=0 rvalid=0 awvalid=0 wvalid=0 bvalid=0 x16=00000000 x17=00000000 x18=00000000 x20=00000000 x21=00000000 x22=000002be
WBTRACE cycle=5001113 pc=00005cf0 rd=20 data=00000000 wsel=1 ramrop=1 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5001376 pc=00005890 rd=20 data=447a0000 wsel=0 ramrop=0 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5001516 pc=000058b8 rd=21 data=00000000 wsel=0 ramrop=0 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5001586 pc=000058cc rd=20 data=00000000 wsel=0 ramrop=0 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5003017 pc=00005b58 rd=20 data=00000000 wsel=1 ramrop=1 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5003051 pc=00005b5c rd=21 data=447a0000 wsel=1 ramrop=1 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5003314 pc=000053f4 rd=20 data=4c3ebc20 wsel=0 ramrop=0 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5003454 pc=0000541c rd=21 data=00000000 wsel=0 ramrop=0 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5003524 pc=00005430 rd=20 data=00000000 wsel=0 ramrop=0 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5004976 pc=00005624 rd=20 data=00000000 wsel=1 ramrop=1 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5005010 pc=00005628 rd=21 data=447a0000 wsel=1 ramrop=1 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5006768 pc=00005cf0 rd=20 data=00000000 wsel=1 ramrop=1 addr=00000000 ren=0 rvalid=0
